Comment,Description,Designator,Footprint,LCSC PART #,LibRef,Quantity

"Capacitor","Capacitor","C1","CAPC_0805","C1794","Capacitor","1"
"Capacitor","Capacitor","C2, C5","CAPC_0805","C28323","Capacitor","2"
"Capacitor","Capacitor","C3, C6","CAPC_0805","C49678","Capacitor","2"
"Capacitor","Capacitor","C4, C7","CAPC_0805","C1710","Capacitor","2"
"Capacitor","Capacitor","C8","CAPC_0805","","Capacitor","1"
"61500814221","Modular Jack Horizontal Shielded 8P8C Tab Down WR-MJ","CAN Connector1","61500814221","","61500814221","1"
"testePoint","","CAN_H1, CAN_L1","PAD 2.5MM - FURO 1.25MM","","testePoint","2"
"Logotipo","","GND1, GND2","Dangerous_Logo","","Logotipo","2"
"Green","LED 2X1.2MM 570NM GN WTR CLR SMD","LED1, LED2","CD2012-0805","C2297","LED_GREEN","2"
"Logotipo","","PowerFlow1","PowerFlow_LOGO","","Logotipo","1"
"220","Thick film resistor, SMD 0402, 1/16W, 1%","R1","RESC_0805","C17557","R2","1"
"470","Thick film resistor, SMD 0402, 1/16W, 1%","R2","RESC_0805","","R2","1"
"N.A.","Thick film resistor, SMD 0402, 1/16W, 1%","R3, R5","RESC_0805","","R2","2"
"49.9","Thick film resistor, SMD 0402, 1/16W, 1%","R4","RESC_0805","C17720","R2","1"
"N.A.","Thick film resistor, SMD 0402, 1/16W, 1%","R6, R7","RESC_0805","C17802","R2","2"
"ISO1050DUBR","Isolated CAN Transceiver, -55 to 105 degC, 8-pin SOP (DUB), Green (RoHS & no Sb/Br)","U1","DUB8_M","C16428","ISO1050DUBR","1"
"Diode_TVS_Array","","U2","SOT23-3","C151237","Diode_TVS_Array","1"
"XMC","","xmc1","XMC4500_Relax_Lite","","XMC","1"
