"Index","X (mil)","Y (mil)","Arc Angle (Neg = CW)"
"0","1196","1945",""
"1","941","1945",""
"2","756.65","2135",""
"3","756.65","2405.001",""
"4","496","2675",""
"5","496","3055",""
"6","401","3150",""
"7","121.473","3150",""
"8","31","3059.528",""
"9","31","2809.528",""
"10","6.004","2784.532",""
"11","-344","2784.528",""
"12","-369","2809.528",""
"13","-369","3174.532",""
"14","-313.553","3229.978",""
"15","-238.55","3229.979",""
"16","-149","3319.527",""
"17","-149","3394.527",""
"18","-88.528","3455",""
"19","2581","3455",""
"20","2806.001","3230",""
"21","2805.999","2654.999",""
"22","2556.001","2405.001",""
"23","1980.999","2404.999",""
"24","1871","2295",""
"25","1871","397.511",""
"26","1980.999","280",""
"27","2356.001","280",""
"28","2430.999","205.001",""
"29","2430.999","30",""
"30","2361.499","-45",""
"31","1030.999","-45",""
"32","951","35",""
"33","951","198.163",""
"34","1022.838","270",""
"35","1551.999","270",""
"36","1649","367.001",""
"37","1649","823",""
"38","1649","2523",""
"39","1730.999","2604.999",""
"40","2430.999","2605",""
"41","2556","2730",""
"42","2556","3005",""
"43","2449.001","3111.999",""
"44","2163.002","3112",""
"45","974.223","3112",""
"46","854","2991.776",""
"47","854","2756.013",""
"48","981.65","2630",""
"49","1147","2630",""
"50","1249","2543.559",""
"51","1249","1998.001",""
